VSWR(1) (GHz) EM Structure 1 Frequency	VSWR(1) EM Structure 1
1	180.611
1.01	179.132
1.02	177.619
1.03	176.075
1.04	174.501
1.05	172.898
1.06	171.27
1.07	169.617
1.08	167.942
1.09	166.245
1.1	164.529
1.11	162.795
1.12	161.044
1.13	159.277
1.14	157.497
1.15	155.705
1.16	153.9
1.17	152.086
1.18	150.263
1.19	148.431
1.2	146.592
1.21	144.747
1.22	142.897
1.23	141.042
1.24	139.183
1.25	137.321
1.26	135.457
1.27	133.591
1.28	131.723
1.29	129.855
1.3	127.987
1.31	126.119
1.32	124.251
1.33	122.384
1.34	120.518
1.35	118.653
1.36	116.79
1.37	114.929
1.38	113.07
1.39	111.213
1.4	109.359
1.41	107.506
1.42	105.656
1.43	103.808
1.44	101.963
1.45	100.12
1.46	98.2798
1.47	96.4417
1.48	94.606
1.49	92.7725
1.5	90.9413
1.51	89.1123
1.52	87.2853
1.53	85.4605
1.54	83.6376
1.55	81.8167
1.56	79.9976
1.57	78.1804
1.58	76.3651
1.59	74.5516
1.6	72.7399
1.61	70.9301
1.62	69.1222
1.63	67.3164
1.64	65.5126
1.65	63.7112
1.66	61.9123
1.67	60.1161
1.68	58.3228
1.69	56.5329
1.7	54.7467
1.71	52.9647
1.72	51.1874
1.73	49.4152
1.74	47.649
1.75	45.8894
1.76	44.1372
1.77	42.3933
1.78	40.6586
1.79	38.9344
1.8	37.3367
1.81	35.5217
1.82	33.836
1.83	32.166
1.84	30.5133
1.85	28.8796
1.86	27.2669
1.87	25.677
1.88	24.1122
1.89	22.5746
1.9	21.0665
1.91	19.5905
1.92	18.1492
1.93	16.7452
1.94	15.3815
1.95	14.0608
1.96	12.7863
1.97	11.5609
1.98	10.3879
1.99	9.27033
2	8.30033
2.01	7.21429
2.02	6.28213
2.03	5.41816
2.04	4.62573
2.05	3.90864
2.06	3.27122
2.07	2.71749
2.08	2.24747
2.09	1.85203
2.1	1.54591
2.11	1.23279
2.12	1.06354
2.13	1.28518
2.14	1.60446
2.15	2.00028
2.16	2.47909
2.17	3.04722
2.18	3.7097
2.19	4.47017
2.2	5.24071
2.21	6.29295
2.22	7.35627
2.23	8.51988
2.24	9.78187
2.25	11.1396
2.26	12.5897
2.27	14.128
2.28	15.75
2.29	17.4503
2.3	19.0211
2.31	21.0627
2.32	22.9618
2.33	24.9138
2.34	26.9114
2.35	28.947
2.36	31.0129
2.37	33.1014
2.38	35.2046
2.39	37.3146
2.4	39.4238
2.41	41.5243
2.42	43.6089
2.43	45.6702
2.44	47.7013
2.45	49.6955
2.46	51.6467
2.47	53.5488
2.48	55.3965
2.49	57.1848
2.5	58.909
2.51	60.5652
2.52	62.1495
2.53	63.659
2.54	65.0909
2.55	66.443
2.56	67.7135
2.57	68.901
2.58	70.0047
2.59	71.0241
2.6	71.9588
2.61	72.8093
2.62	73.5759
2.63	74.2595
2.64	74.8613
2.65	75.3825
2.66	75.8248
2.67	76.1899
2.68	76.4799
2.69	76.6968
2.7	76.8429
2.71	76.9205
2.72	76.9322
2.73	76.8804
2.74	76.7678
2.75	76.5969
2.76	76.3703
2.77	76.0908
2.78	75.761
2.79	75.3835
2.8	74.9608
2.81	74.4957
2.82	73.9905
2.83	73.4478
2.84	72.87
2.85	72.2594
2.86	71.6182
2.87	70.9488
2.88	70.2533
2.89	69.5337
2.9	68.7919
2.91	68.0299
2.92	67.2496
2.93	66.4526
2.94	65.6405
2.95	64.8151
2.96	63.9777
2.97	63.1299
2.98	62.2728
2.99	61.4078
3	60.5361
3.01	59.6588
3.02	58.7769
3.03	57.8914
3.04	57.0031
3.05	56.113
3.06	55.2218
3.07	54.3301
3.08	53.4387
3.09	52.5481
3.1	51.6588
3.11	50.7714
3.12	49.8861
3.13	49.0034
3.14	48.1236
3.15	47.2469
3.16	46.3735
3.17	45.5037
3.18	44.6374
3.19	43.7747
3.2	42.9157
3.21	42.0604
3.22	41.2085
3.23	40.3601
3.24	39.5148
3.25	38.6725
3.26	37.8329
3.27	36.9956
3.28	36.1603
3.29	35.3265
3.3	34.4936
3.31	33.6612
3.32	32.8285
3.33	31.9949
3.34	31.1596
3.35	30.3218
3.36	29.4804
3.37	28.6347
3.38	27.7833
3.39	26.9253
3.4	26.0593
3.41	25.1841
3.42	24.2983
3.43	23.4004
3.44	22.4891
3.45	21.563
3.46	20.6206
3.47	19.6608
3.48	18.6825
3.49	17.6852
3.5	16.6687
3.51	15.6336
3.52	14.5813
3.53	13.5147
3.54	12.4381
3.55	11.3577
3.56	10.2822
3.57	9.22263
3.58	8.19272
3.59	7.20886
3.6	6.28962
3.61	5.455
3.62	4.7254
3.63	4.12046
3.64	3.65775
3.65	3.35117
3.66	3.20799
3.67	3.22486
3.68	3.38594
3.69	3.66586
3.7	4.03534
3.71	4.46538
3.72	4.92946
3.73	5.40469
3.74	5.87221
3.75	6.31737
3.76	6.72951
3.77	7.10157
3.78	7.42945
3.79	7.7115
3.8	7.94784
3.81	8.13993
3.82	8.29008
3.83	8.40115
3.84	8.47629
3.85	8.51875
3.86	8.53175
3.87	8.51839
3.88	8.48162
3.89	8.42417
3.9	8.34859
3.91	8.25719
3.92	8.1521
3.93	8.03526
3.94	7.90842
3.95	7.77316
3.96	7.63093
3.97	7.48305
3.98	7.33068
3.99	7.17494
4	7.01679
